SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance (income units),,,,,,,,,,,,,,,,,,,,,
31106,Fortitude Valley,<5,<5,189,42,29,0,14,29,416,101,88,478,167,407,<5,16,0,816,<5,<5,0,0,0,0,40,128,815,,,,,,,,,,,,,,,,,,,,,
31107,Highgate Hill,5,<5,358,40,74,0,27,88,156,182,137,398,182,200,<5,19,0,664,<5,<5,<5,0,<5,0,14,168,493,,,,,,,,,,,,,,,,,,,,,
31108,Kangaroo Point,<5,<5,420,21,54,<5,23,206,206,130,108,291,126,193,<5,23,0,790,<5,0,<5,0,0,0,23,109,390,,,,,,,,,,,,,,,,,,,,,
31109,New Farm,21,<5,799,50,88,<5,35,231,405,181,142,443,162,342,<5,30,0,"1,449",<5,0,6,0,<5,0,23,120,837,,,,,,,,,,,,,,,,,,,,,
31110,South Brisbane,7,<5,177,46,42,<5,13,89,208,233,180,554,294,253,6,23,0,563,<5,<5,<5,0,0,0,27,285,717,,,,,,,,,,,,,,,,,,,,,
31111,Spring Hill,<5,<5,165,19,25,0,8,44,301,98,82,308,86,352,<5,13,0,654,<5,<5,<5,0,0,0,14,62,667,,,,,,,,,,,,,,,,,,,,,
31112,West End,9,<5,530,56,125,0,39,120,257,331,268,623,269,352,9,32,0,"1,039",<5,<5,<5,0,0,0,36,231,723,,,,,,,,,,,,,,,,,,,,,
31113,Balmoral,<5,<5,182,10,41,<5,10,64,60,145,124,117,34,50,<5,31,0,317,0,0,<5,0,0,0,8,20,141,,,,,,,,,,,,,,,,,,,,,
31114,Bulimba,<5,0,325,7,61,0,16,78,75,139,113,145,38,64,<5,23,<5,481,0,0,<5,0,0,0,8,24,142,,,,,,,,,,,,,,,,,,,,,
31115,East Brisbane,7,<5,273,28,43,0,13,74,137,143,121,322,139,194,10,31,0,558,<5,<5,<5,0,0,0,30,131,364,,,,,,,,,,,,,,,,,,,,,
31116,Hawthorne,<5,<5,160,<5,52,<5,6,48,67,106,93,131,36,62,5,17,0,304,<5,0,0,0,0,0,13,20,142,,,,,,,,,,,,,,,,,,,,,
31117,Morningside - Seven Hills,<5,<5,690,31,153,10,51,84,301,511,442,504,160,272,14,107,0,"1,307",0,<5,<5,0,0,<5,37,112,593,,,,,,,,,,,,,,,,,,,,,
31118,Norman Park,0,0,243,12,46,<5,17,70,53,141,112,161,55,95,<5,36,0,405,<5,<5,0,0,0,0,13,55,175,,,,,,,,,,,,,,,,,,,,,
31119,Albion,<5,0,159,16,25,0,<5,63,46,70,61,130,56,94,0,9,0,273,<5,0,<5,0,0,0,7,43,188,,,,,,,,,,,,,,,,,,,,,
31120,Alderley,6,<5,293,21,70,<5,20,84,130,165,145,247,97,125,6,28,0,551,<5,<5,<5,0,0,0,23,93,283,,,,,,,,,,,,,,,,,,,,,
31121,Ascot,<5,0,277,5,38,<5,10,105,82,127,99,151,36,106,5,26,0,451,0,0,0,0,0,0,7,24,229,,,,,,,,,,,,,,,,,,,,,
31122,Clayfield,9,<5,583,19,73,<5,18,226,291,298,246,361,112,216,16,45,0,"1,071",<5,0,5,0,0,0,22,85,675,,,,,,,,,,,,,,,,,,,,,
31123,Grange,<5,<5,225,5,56,<5,7,56,41,83,64,124,36,50,<5,7,0,305,0,0,0,0,0,0,5,21,97,,,,,,,,,,,,,,,,,,,,,
31124,Hamilton (Qld),<5,<5,296,18,33,<5,10,120,66,121,111,201,73,106,5,23,0,452,<5,<5,5,0,0,0,7,50,263,,,,,,,,,,,,,,,,,,,,,
31125,Hendra,0,<5,289,6,54,0,19,100,49,104,87,112,32,71,<5,13,0,433,<5,0,0,0,0,0,9,19,139,,,,,,,,,,,,,,,,,,,,,
31126,Kelvin Grove - Herston,14,6,303,32,71,<5,25,54,270,260,221,623,405,193,11,26,0,717,<5,<5,0,0,0,0,29,423,877,,,,,,,,,,,,,,,,,,,,,
31127,Newmarket,5,<5,231,18,45,<5,12,51,114,139,125,240,111,104,6,18,0,424,0,<5,<5,0,0,0,16,99,244,,,,,,,,,,,,,,,,,,,,,
31128,Newstead - Bowen Hills,8,<5,263,37,58,<5,19,131,246,187,163,413,174,246,11,21,0,673,0,<5,0,0,0,0,31,149,606,,,,,,,,,,,,,,,,,,,,,
31129,Wilston,5,0,175,8,42,<5,9,59,104,83,71,111,43,52,<5,13,0,330,0,0,0,0,0,0,<5,36,169,,,,,,,,,,,,,,,,,,,,,
31130,Windsor,6,<5,330,22,69,<5,21,80,237,176,147,321,137,168,<5,29,0,711,<5,<5,<5,0,<5,0,29,136,454,,,,,,,,,,,,,,,,,,,,,
31131,Wooloowin - Lutwyche,<5,<5,484,29,108,<5,29,114,333,265,226,408,143,242,6,47,0,"1,041",<5,<5,<5,0,<5,<5,18,115,676,,,,,,,,,,,,,,,,,,,,,
31132,Ashgrove,<5,6,660,30,139,0,25,243,196,276,219,367,155,178,5,28,0,"1,054",<5,0,<5,0,0,<5,15,133,487,,,,,,,,,,,,,,,,,,,,,
31133,Auchenflower,<5,<5,183,26,29,0,<5,117,63,81,68,242,151,82,0,7,0,306,0,0,<5,0,0,0,6,188,315,,,,,,,,,,,,,,,,,,,,,
31134,Bardon,<5,<5,425,22,64,5,11,210,73,187,154,228,98,97,10,23,0,625,0,0,<5,0,<5,0,11,71,207,,,,,,,,,,,,,,,,,,,,,
31135,Paddington - Milton,<5,<5,368,51,90,<5,19,138,133,192,149,420,226,153,5,23,0,639,<5,<5,<5,0,0,0,21,234,481,,,,,,,,,,,,,,,,,,,,,
31136,Red Hill (Qld),<5,0,220,27,49,0,9,64,187,109,87,317,114,234,<5,12,0,548,<5,0,<5,0,0,0,16,109,487,,,,,,,,,,,,,,,,,,,,,
31137,Toowong,9,6,390,51,82,<5,15,183,158,221,184,585,348,192,7,24,0,712,<5,<5,6,0,0,0,28,353,646,,,,,,,,,,,,,,,,,,,,,
31138,Brinsmead,<5,7,295,7,97,<5,32,54,74,343,250,224,40,103,9,46,<5,510,0,0,0,0,<5,0,12,19,222,,,,,,,,,,,,,,,,,,,,,
31139,Clifton Beach - Kewarra Beach,6,8,"1,096",25,220,5,103,188,216,694,550,530,114,295,27,134,0,"1,726",<5,0,<5,0,<5,0,33,55,721,,,,,,,,,,,,,,,,,,,,,
31140,Freshwater - Stratford,0,<5,251,8,70,<5,20,65,72,240,207,179,26,72,6,36,0,444,<5,0,<5,0,0,0,15,12,193,,,,,,,,,,,,,,,,,,,,,
31141,Redlynch,8,20,714,17,228,11,61,91,169,765,591,530,100,177,23,109,<5,"1,183",<5,<5,8,0,<5,0,29,53,476,,,,,,,,,,,,,,,,,,,,,
31142,Trinity Beach - Smithfield,31,19,"1,100",37,312,7,136,112,293,"1,031",803,831,224,373,45,180,0,"1,905",6,0,5,0,<5,0,55,172,998,,,,,,,,,,,,,,,,,,,,,
31143,Yorkeys Knob - Machans Beach,5,16,607,30,104,<5,47,56,238,482,413,470,78,328,18,112,0,"1,158",<5,0,5,0,<5,0,36,38,682,,,,,,,,,,,,,,,,,,,,,
31144,Bentley Park,11,85,444,9,231,10,100,25,206,829,693,645,56,316,59,202,0,"1,092",<5,<5,<5,0,<5,0,56,27,537,,,,,,,,,,,,,,,,,,,,,
31145,Cairns City,34,44,836,26,141,<5,82,105,617,687,590,"1,224",171,"1,010",43,161,0,"2,021",<5,<5,<5,0,0,<5,124,99,"1,457",,,,,,,,,,,,,,,,,,,,,
31146,Earlville - Bayview Heights,8,37,"1,029",7,223,<5,76,186,264,554,435,524,76,321,29,113,<5,"1,644",0,0,<5,0,<5,0,61,30,616,,,,,,,,,,,,,,,,,,,,,
31147,Edmonton,20,135,797,<5,335,6,154,61,343,"1,172",953,898,85,489,83,284,0,"1,822",<5,0,9,0,<5,<5,98,35,859,,,,,,,,,,,,,,,,,,,,,
31148,Gordonvale - Trinity,9,45,729,11,225,<5,97,131,254,685,556,535,59,319,37,155,0,"1,401",<5,0,6,0,<5,<5,65,35,479,,,,,,,,,,,,,,,,,,,,,
31149,Kanimbla - Mooroobool,11,89,861,14,232,12,131,106,262,806,639,727,84,414,52,177,0,"1,604",<5,0,7,0,0,<5,70,32,617,,,,,,,,,,,,,,,,,,,,,
31150,Lamb Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
31151,Manoora,27,101,517,9,180,6,118,28,362,831,752,869,78,687,38,294,0,"1,588",<5,0,<5,0,0,<5,113,29,961,,,,,,,,,,,,,,,,,,,,,
31152,Manunda,11,54,577,10,145,<5,85,39,385,569,503,741,73,607,48,184,0,"1,478",<5,<5,<5,0,0,0,87,25,849,,,,,,,,,,,,,,,,,,,,,
31153,Mount Sheridan,8,37,582,14,195,<5,82,77,171,707,549,488,74,228,30,137,0,"1,083",<5,0,<5,0,<5,<5,39,27,477,,,,,,,,,,,,,,,,,,,,,
31154,Westcourt - Bungalow,16,48,768,13,124,<5,71,56,414,493,433,753,69,605,47,139,0,"1,628",<5,<5,<5,0,<5,0,85,22,896,,,,,,,,,,,,,,,,,,,,,
31155,White Rock,7,82,490,5,130,<5,63,27,192,555,484,473,45,316,34,150,0,"1,055",<5,0,<5,0,<5,0,50,19,463,,,,,,,,,,,,,,,,,,,,,
31156,Whitfield - Edge Hill,8,15,807,19,130,5,45,185,181,511,437,454,72,287,19,111,<5,"1,303",<5,0,6,0,0,0,31,38,614,,,,,,,,,,,,,,,,,,,,,
31157,Woree,17,41,489,6,120,6,65,20,262,554,478,560,57,402,43,180,0,"1,151",<5,<5,<5,0,<5,0,64,23,764,,,,,,,,,,,,,,,,,,,,,
31158,Babinda,0,19,516,<5,124,5,51,133,162,260,191,230,28,197,12,58,<5,920,0,0,<5,0,<5,<5,14,6,288,,,,,,,,,,,,,,,,,,,,,
31159,Innisfail,13,118,"1,299",<5,308,<5,169,196,487,847,699,845,91,650,69,224,0,"2,519",<5,<5,<5,0,<5,<5,125,18,"1,045",,,,,,,,,,,,,,,,,,,,,
31160,Johnstone,5,18,921,<5,242,6,124,171,333,579,443,441,56,365,27,110,0,"1,738",8,<5,5,0,5,<5,29,7,482,,,,,,,,,,,,,,,,,,,,,
31161,Tully,5,40,"1,439",<5,262,7,128,270,394,744,603,603,63,477,45,143,<5,"2,430",5,<5,5,0,<5,5,35,11,860,,,,,,,,,,,,,,,,,,,,,
31162,Wooroonooran,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
31163,Yarrabah,17,182,92,0,92,<5,93,0,139,431,390,739,16,558,39,192,0,613,0,0,<5,0,0,0,162,<5,184,,,,,,,,,,,,,,,,,,,,,
31164,Daintree,5,45,764,6,170,<5,96,150,319,527,405,555,56,427,38,103,0,"1,488",<5,<5,<5,0,<5,0,46,8,555,,,,,,,,,,,,,,,,,,,,,
31165,Port Douglas,<5,5,458,7,55,<5,29,98,134,269,197,250,37,171,14,40,0,742,<5,0,0,0,0,0,10,8,358,,,,,,,,,,,,,,,,,,,,,
31166,Atherton,15,30,"1,803",13,291,<5,127,255,404,869,697,677,94,471,45,200,<5,"2,853",<5,0,<5,0,<5,<5,75,24,989,,,,,,,,,,,,,,,,,,,,,
31167,Herberton,12,32,942,5,230,<5,144,75,382,496,419,550,53,461,42,121,<5,"1,807",0,0,<5,0,<5,<5,51,11,467,,,,,,,,,,,,,,,,,,,,,
31168,Kuranda,6,39,514,11,129,<5,76,92,206,398,314,454,52,361,31,87,0,"1,044",<5,0,<5,0,<5,<5,34,10,329,,,,,,,,,,,,,,,,,,,,,
31169,Malanda - Yungaburra,<5,16,"1,302",11,211,5,95,265,270,559,430,430,72,312,26,114,0,"2,035",<5,0,<5,0,<5,5,25,19,546,,,,,,,,,,,,,,,,,,,,,
31170,Mareeba,14,82,"1,688",9,308,<5,147,273,454,961,791,"1,015",92,742,71,273,<5,"2,873",<5,0,<5,0,<5,<5,97,18,"1,015",,,,,,,,,,,,,,,,,,,,,
31171,Balonne,7,48,389,0,95,5,50,66,125,381,281,290,18,167,15,105,0,741,<5,0,<5,0,<5,0,31,<5,194,,,,,,,,,,,,,,,,,,,,,
31172,Chinchilla,<5,18,692,<5,186,5,75,147,329,639,531,437,39,271,35,192,0,"1,476",<5,0,<5,0,<5,<5,46,14,646,,,,,,,,,,,,,,,,,,,,,
31173,Goondiwindi,<5,34,584,<5,142,7,59,121,153,469,344,278,46,147,21,104,0,"1,028",<5,<5,6,0,0,<5,28,16,360,,,,,,,,,,,,,,,,,,,,,
31174,Inglewood - Waggamba,<5,5,564,<5,127,<5,66,80,214,309,229,213,35,102,16,53,0,958,0,0,<5,0,<5,<5,22,8,214,,,,,,,,,,,,,,,,,,,,,
31175,Miles - Wandoan,<5,6,360,<5,94,<5,48,93,113,274,199,195,22,104,13,46,<5,640,0,0,<5,0,<5,0,22,7,211,,,,,,,,,,,,,,,,,,,,,
31176,Roma,5,29,514,<5,118,<5,47,133,209,479,389,346,43,196,22,135,0,"1,035",<5,0,<5,0,<5,<5,58,15,492,,,,,,,,,,,,,,,,,,,,,
31177,Roma Region,<5,7,462,<5,96,<5,37,148,131,342,250,243,36,110,16,57,0,760,<5,0,0,0,0,0,15,6,183,,,,,,,,,,,,,,,,,,,,,
31178,Tara,0,5,502,5,236,<5,150,50,400,340,268,343,43,271,27,62,0,"1,291",<5,0,5,0,<5,<5,50,9,230,,,,,,,,,,,,,,,,,,,,,
31179,Crows Nest - Rosalie,<5,<5,"1,479",11,335,<5,166,210,473,645,518,516,116,312,31,133,0,"2,506",<5,0,7,0,<5,7,55,23,585,,,,,,,,,,,,,,,,,,,,,
31180,Jondaryan,<5,18,728,9,221,5,109,138,322,587,445,441,76,281,28,130,0,"1,457",5,0,<5,0,<5,5,53,14,498,,,,,,,,,,,,,,,,,,,,,
31181,Millmerran,0,<5,411,<5,130,0,65,74,170,218,166,159,28,110,9,45,<5,780,<5,0,<5,0,<5,0,14,7,180,,,,,,,,,,,,,,,,,,,,,
31182,Pittsworth,0,5,717,<5,109,<5,45,135,130,409,287,242,53,98,15,67,0,"1,058",<5,0,0,0,<5,<5,19,16,296,,,,,,,,,,,,,,,,,,,,,
31183,Wambo,6,56,"1,718",12,498,7,257,320,683,"1,303","1,014",955,136,559,66,302,0,"3,386",6,<5,8,0,8,7,129,45,"1,205",,,,,,,,,,,,,,,,,,,,,
31184,Clifton - Greenmount,<5,5,678,<5,154,<5,82,141,212,359,265,260,63,114,16,43,0,"1,128",<5,0,<5,0,<5,<5,20,16,277,,,,,,,,,,,,,,,,,,,,,
31185,Southern Downs - East,<5,<5,602,<5,148,<5,77,110,183,300,190,240,60,137,19,29,0,"1,009",<5,0,5,0,0,<5,19,13,205,,,,,,,,,,,,,,,,,,,,,
31186,Southern Downs - West,<5,12,798,<5,172,<5,92,95,252,353,259,262,63,176,13,66,<5,"1,332",<5,0,<5,0,<5,<5,16,7,272,,,,,,,,,,,,,,,,,,,,,
31187,Stanthorpe,0,12,"1,166",<5,215,<5,88,141,297,445,328,331,50,253,31,95,<5,"1,850",<5,<5,8,0,<5,0,40,11,525,,,,,,,,,,,,,,,,,,,,,
31188,Stanthorpe Region,<5,<5,846,13,238,6,126,109,324,445,288,395,85,262,40,60,0,"1,567",5,0,<5,0,<5,6,28,15,311,,,,,,,,,,,,,,,,,,,,,
31189,Warwick,11,35,"2,491",22,536,9,222,313,808,"1,347","1,064",999,179,638,75,313,<5,"4,375",<5,<5,13,0,6,8,121,38,"1,548",,,,,,,,,,,,,,,,,,,,,
31190,Central Highlands - East,10,98,189,0,96,5,48,40,136,476,415,581,36,417,24,174,0,676,<5,0,0,0,0,<5,92,<5,194,,,,,,,,,,,,,,,,,,,,,
31191,Central Highlands - West,0,<5,620,<5,144,<5,79,71,245,339,261,279,48,213,15,54,<5,"1,146",<5,0,<5,0,<5,<5,19,6,200,,,,,,,,,,,,,,,,,,,,,
31192,Emerald,<5,21,461,<5,212,5,60,57,170,766,631,568,53,279,38,188,0,"1,040",<5,<5,<5,0,<5,0,63,17,542,,,,,,,,,,,,,,,,,,,,,
31193,Agnes Water - Miriam Vale,<5,6,829,<5,239,<5,143,111,374,393,295,496,63,469,31,63,0,"1,696",<5,0,5,0,5,7,28,14,359,,,,,,,,,,,,,,,,,,,,,
31194,Banana,0,12,650,<5,158,<5,56,205,147,424,303,302,42,157,21,64,0,"1,035",<5,0,<5,0,<5,0,10,8,242,,,,,,,,,,,,,,,,,,,,,
31195,Biloela,<5,14,448,<5,107,<5,25,83,151,288,239,280,30,192,13,73,0,803,<5,0,0,0,0,<5,33,7,219,,,,,,,,,,,,,,,,,,,,,
31196,Boyne Island - Tannum Sands,<5,12,674,6,227,10,105,119,224,554,488,534,55,347,37,165,<5,"1,377",<5,0,<5,0,0,<5,53,11,689,,,,,,,,,,,,,,,,,,,,,
31197,Callemondah,0,0,<5,0,0,0,0,0,0,0,0,<5,0,<5,0,0,0,<5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
31198,Clinton - New Auckland,5,23,755,11,306,12,111,77,298,979,876,894,89,577,65,329,0,"1,815",5,<5,5,0,<5,<5,124,24,"1,019",,,,,,,,,,,,,,,,,,,,,
31199,Gladstone,7,16,646,10,141,12,68,65,357,462,413,705,79,606,26,176,0,"1,540",<5,6,7,0,<5,<5,120,22,877,,,,,,,,,,,,,,,,,,,,,
31200,Gladstone Hinterland,<5,11,841,7,257,10,100,106,259,594,498,586,82,384,41,182,0,"1,609",5,<5,<5,0,<5,<5,41,13,548,,,,,,,,,,,,,,,,,,,,,
31201,Kin Kora - Sun Valley,<5,6,226,<5,89,<5,41,34,75,250,218,250,34,161,15,73,0,501,0,0,<5,0,0,0,32,7,256,,,,,,,,,,,,,,,,,,,,,
31202,South Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
31203,Telina - Toolooa,<5,14,304,6,144,<5,56,35,134,429,381,414,35,268,24,123,0,766,<5,<5,<5,0,0,<5,47,10,349,,,,,,,,,,,,,,,,,,,,,
31204,West Gladstone,<5,14,465,<5,141,<5,71,57,225,291,271,397,55,320,15,99,0,"1,022",<5,0,<5,0,<5,<5,50,14,423,,,,,,,,,,,,,,,,,,,,,
31205,Berserker,7,30,783,12,232,<5,110,34,450,615,526,737,75,547,55,153,0,"1,754",<5,<5,7,0,<5,0,110,43,794,,,,,,,,,,,,,,,,,,,,,
31206,Bouldercombe,0,<5,189,0,59,0,23,39,66,110,90,101,14,74,<5,20,0,334,0,0,<5,0,<5,0,8,<5,65,,,,,,,,,,,,,,,,,,,,,
31207,Emu Park,<5,18,877,<5,187,8,93,100,234,409,354,346,60,286,39,114,0,"1,547",<5,<5,<5,0,<5,0,33,8,610,,,,,,,,,,,,,,,,,,,,,
31208,Frenchville - Mount Archer,7,17,962,6,255,9,77,139,249,563,461,500,79,289,19,123,<5,"1,568",0,0,5,0,<5,<5,43,39,574,,,,,,,,,,,,,,,,,,,,,
31209,Glenlee - Rockyview,0,<5,288,<5,91,<5,35,60,64,137,101,156,35,63,<5,19,0,457,<5,<5,<5,0,0,0,13,8,58,,,,,,,,,,,,,,,,,,,,,
31210,Gracemere,14,81,804,14,379,12,165,80,345,"1,233","1,076",938,94,474,89,381,<5,"1,965",<5,<5,<5,0,<5,5,120,26,"1,044",,,,,,,,,,,,,,,,,,,,,
31211,Lakes Creek,5,29,481,9,172,8,79,28,228,428,369,492,60,293,30,130,<5,"1,065",<5,0,<5,0,<5,<5,74,20,382,,,,,,,,,,,,,,,,,,,,,
31212,Mount Morgan,0,26,583,<5,183,<5,109,12,319,245,224,295,38,267,17,70,<5,"1,240",0,0,<5,0,<5,<5,39,11,345,,,,,,,,,,,,,,,,,,,,,
31213,Norman Gardens,<5,46,952,16,262,7,113,142,309,607,485,575,120,274,15,150,<5,"1,703",<5,0,<5,0,0,<5,69,58,654,,,,,,,,,,,,,,,,,,,,,
31214,Park Avenue,6,13,724,5,150,6,79,48,215,398,315,408,62,252,12,80,<5,"1,226",0,0,5,0,<5,0,61,15,403,,,,,,,,,,,,,,,,,,,,,
31215,Parkhurst - Kawana,7,36,672,9,207,6,88,46,256,511,425,482,70,281,26,131,0,"1,327",<5,0,<5,0,<5,<5,69,35,505,,,,,,,,,,,,,,,,,,,,,
31216,Rockhampton - West,5,29,792,12,187,<5,77,59,268,404,336,392,57,225,13,103,0,"1,356",<5,<5,<5,0,<5,0,43,20,486,,,,,,,,,,,,,,,,,,,,,
31217,Rockhampton City,8,19,539,5,136,<5,72,41,401,304,269,539,59,487,15,86,0,"1,290",<5,0,<5,0,<5,<5,85,16,631,,,,,,,,,,,,,,,,,,,,,
31218,Rockhampton Region - East,<5,<5,370,<5,91,<5,34,73,104,151,115,167,40,107,10,25,<5,627,<5,0,<5,0,<5,<5,16,5,114,,,,,,,,,,,,,,,,,,,,,
31219,Rockhampton Region - North,0,<5,348,<5,108,5,47,80,136,212,158,213,43,149,11,27,<5,680,<5,0,<5,0,<5,<5,14,7,116,,,,,,,,,,,,,,,,,,,,,
31220,Rockhampton Region - West,0,<5,220,0,57,<5,21,74,57,128,98,102,20,60,5,15,<5,363,0,0,<5,0,<5,<5,7,5,44,,,,,,,,,,,,,,,,,,,,,
31221,Shoalwater Bay,0,0,9,0,<5,0,<5,0,<5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
31222,The Range - Allenstown,6,10,866,10,147,<5,58,130,291,355,299,419,91,317,20,88,<5,"1,478",<5,0,<5,0,<5,<5,47,51,562,,,,,,,,,,,,,,,,,,,,,
31223,Yeppoon,10,45,"2,290",20,495,10,181,395,547,"1,051",883,955,181,686,60,255,<5,"3,776",7,0,13,0,<5,7,99,43,"1,366",,,,,,,,,,,,,,,,,,,,,
31224,Broadbeach Waters,<5,<5,734,10,156,5,54,190,102,284,203,279,62,142,11,35,<5,"1,029",<5,<5,<5,0,<5,<5,13,50,291,,,,,,,,,,,,,,,,,,,,,
31225,Burleigh Heads,<5,0,"1,093",33,171,<5,60,215,254,376,307,433,105,295,13,56,0,"1,657",<5,0,5,0,0,0,20,72,783,,,,,,,,,,,,,,,,,,,,,
31226,Burleigh Waters,0,0,"2,046",38,368,8,131,289,322,769,592,610,164,343,28,98,<5,"2,850",<5,0,11,0,0,5,23,95,837,,,,,,,,,,,,,,,,,,,,,
31227,Mermaid Beach - Broadbeach,7,<5,"1,047",47,128,<5,57,281,186,448,371,502,140,330,18,69,<5,"1,560",8,<5,9,0,0,0,17,109,832,,,,,,,,,,,,,,,,,,,,,
31228,Mermaid Waters,5,<5,"1,465",24,274,6,114,263,265,656,523,555,144,306,30,87,0,"2,148",8,<5,7,0,<5,0,22,97,813,,,,,,,,,,,,,,,,,,,,,
31229,Miami,<5,<5,660,28,116,<5,50,92,247,347,277,325,89,242,12,47,0,"1,173",<5,<5,8,0,<5,<5,26,50,505,,,,,,,,,,,,,,,,,,,,,
31230,Coolangatta,<5,<5,897,27,143,<5,59,177,303,252,213,318,98,275,13,46,0,"1,539",<5,<5,<5,0,0,0,17,48,666,,,,,,,,,,,,,,,,,,,,,
31231,Currumbin - Tugun,7,7,"1,222",49,227,<5,84,203,357,733,597,592,141,372,29,133,0,"2,049",7,0,<5,0,<5,0,27,98,911,,,,,,,,,,,,,,,,,,,,,
31232,Currumbin Waters,8,6,"1,258",19,294,9,111,156,279,617,458,455,109,264,17,88,0,"1,948",<5,0,6,0,<5,<5,38,46,489,,,,,,,,,,,,,,,,,,,,,
31233,Elanora,<5,11,"1,701",21,350,6,132,227,291,764,583,604,141,316,23,107,0,"2,490",5,0,13,0,<5,<5,56,69,576,,,,,,,,,,,,,,,,,,,,,
31234,Palm Beach,<5,6,"1,618",50,300,9,122,314,514,802,653,747,176,541,25,107,0,"2,756",<5,<5,10,0,<5,<5,54,96,"1,253",,,,,,,,,,,,,,,,,,,,,
31235,Arundel,5,5,"1,362",24,326,<5,134,202,263,702,539,615,170,317,30,115,0,"2,089",<5,<5,<5,0,<5,0,42,122,"1,034",,,,,,,,,,,,,,,,,,,,,
31236,Biggera Waters,<5,<5,"1,151",27,199,0,106,125,295,562,491,623,167,402,31,95,0,"1,885",0,<5,8,0,<5,0,51,103,"1,055",,,,,,,,,,,,,,,,,,,,,
31237,Coombabah,<5,<5,"2,523",24,390,5,164,113,376,725,570,578,112,358,35,118,5,"3,412",5,6,9,0,<5,<5,31,64,"1,772",,,,,,,,,,,,,,,,,,,,,
31238,Labrador,21,7,"2,697",80,567,9,285,203,"1,023","1,312","1,119","1,513",387,"1,077",71,269,<5,"4,857",7,<5,14,0,<5,<5,127,257,"2,472",,,,,,,,,,,,,,,,,,,,,
31239,Paradise Point - Hollywell,<5,<5,"1,205",10,223,7,81,365,206,338,274,302,64,199,10,66,0,"1,724",<5,<5,5,0,0,0,17,35,530,,,,,,,,,,,,,,,,,,,,,
31240,Runaway Bay,<5,<5,"1,552",12,238,<5,83,452,199,405,333,353,87,242,15,76,<5,"2,135",5,<5,5,0,<5,<5,16,47,619,,,,,,,,,,,,,,,,,,,,,
31241,Guanaba - Springbrook,0,0,397,13,92,<5,39,66,98,256,193,223,58,156,14,33,0,673,<5,<5,5,0,0,<5,10,20,219,,,,,,,,,,,,,,,,,,,,,
31242,Tamborine - Canungra,<5,<5,"1,759",21,418,11,161,331,395,907,650,686,162,386,31,121,<5,"2,752",6,0,10,0,0,<5,30,75,736,,,,,,,,,,,,,,,,,,,,,
31243,Currumbin Valley - Tallebudgera,0,0,709,18,141,<5,45,136,157,385,277,312,84,170,11,59,0,"1,100",<5,0,<5,0,0,<5,13,41,245,,,,,,,,,,,,,,,,,,,,,
31244,Mudgeeraba - Bonogin,<5,12,"1,599",19,500,15,189,198,373,"1,314",963,928,181,464,46,174,<5,"2,683",0,<5,8,0,<5,<5,57,118,912,,,,,,,,,,,,,,,,,,,,,
31245,Reedy Creek - Andrews,0,0,666,19,188,6,68,66,114,566,421,414,121,147,18,60,<5,"1,018",<5,0,<5,0,0,<5,21,69,370,,,,,,,,,,,,,,,,,,,,,
31246,Carrara,<5,<5,"1,530",19,276,11,117,217,298,786,602,633,140,424,18,125,<5,"2,381",5,<5,6,0,<5,0,41,94,"1,025",,,,,,,,,,,,,,,,,,,,,
31247,Highland Park,6,6,991,11,275,6,111,110,228,680,522,492,103,280,22,113,<5,"1,647",<5,0,6,0,<5,<5,42,44,675,,,,,,,,,,,,,,,,,,,,,
31248,Nerang - Mount Nathan,9,9,"2,621",40,615,13,288,171,780,"1,635","1,288","1,283",228,857,92,312,5,"4,584",12,0,10,0,<5,5,110,111,"1,827",,,,,,,,,,,,,,,,,,,,,
31249,Pacific Pines - Gaven,7,5,"1,009",35,502,11,187,66,306,"1,676","1,278","1,143",214,427,67,244,0,"2,010",6,<5,15,0,<5,0,65,145,"1,221",,,,,,,,,,,,,,,,,,,,,
31250,Worongary - Tallai,<5,6,761,10,169,<5,59,147,145,367,251,319,84,172,12,39,0,"1,128",<5,<5,0,0,<5,<5,12,50,266,,,,,,,,,,,,,,,,,,,,,
