SA2,SA2 Name,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,Low Income Card,Newstart Allowance,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pensioner Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Widow B Pension,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance (income units),,,,,,,,,,,,,,,,,,,,,
11058,Bathurst,38,45,"2,709",59,621,28,284,388,"1,058","1,652","1,343","1,620",564,724,107,421,0,"4,937",5,5,8,0,<5,0,139,544,"2,271",,,,,,,,,,,,,,,,,,,,,
11059,Bathurst - East,17,44,"1,144",7,352,9,165,188,459,809,640,552,102,286,34,189,0,"2,209",<5,0,<5,0,<5,<5,68,51,570,,,,,,,,,,,,,,,,,,,,,
11060,Bathurst Region,0,<5,685,<5,167,<5,64,133,191,327,232,258,56,160,11,45,<5,"1,115",<5,<5,<5,0,0,0,13,24,188,,,,,,,,,,,,,,,,,,,,,
11061,Oberon,<5,<5,629,<5,111,<5,54,125,186,280,230,199,20,109,11,60,0,"1,019",0,0,<5,0,0,<5,21,7,219,,,,,,,,,,,,,,,,,,,,,
11062,Condobolin,6,63,822,0,198,6,97,112,297,519,392,422,34,270,36,130,<5,"1,471",<5,0,5,0,<5,<5,44,9,316,,,,,,,,,,,,,,,,,,,,,
11063,Cowra,13,45,"1,678",5,362,8,192,217,603,729,575,576,80,419,32,186,<5,"2,960",<5,0,8,0,<5,<5,82,16,793,,,,,,,,,,,,,,,,,,,,,
11064,Cowra Region,<5,5,891,<5,187,<5,89,114,278,368,262,286,38,221,12,61,<5,"1,470",5,0,6,0,<5,<5,24,10,231,,,,,,,,,,,,,,,,,,,,,
11065,Forbes,10,37,"1,500",7,284,6,122,210,430,704,536,512,73,316,23,165,<5,"2,457",<5,0,<5,0,6,<5,40,28,569,,,,,,,,,,,,,,,,,,,,,
11066,Grenfell,<5,<5,639,0,140,<5,76,117,201,200,146,149,30,127,11,35,0,"1,049",0,0,<5,0,0,<5,10,12,176,,,,,,,,,,,,,,,,,,,,,
11067,Parkes (NSW),5,34,"1,441",8,412,8,162,209,520,805,664,650,84,407,37,226,<5,"2,623",<5,0,9,0,<5,<5,96,15,780,,,,,,,,,,,,,,,,,,,,,
11068,Parkes Region,<5,19,413,<5,122,<5,61,74,187,261,198,234,27,161,21,58,<5,821,0,0,<5,0,<5,<5,26,8,183,,,,,,,,,,,,,,,,,,,,,
11069,West Wyalong,0,<5,735,0,139,0,63,155,208,344,262,267,43,156,14,65,0,"1,180",<5,0,<5,0,<5,<5,20,10,180,,,,,,,,,,,,,,,,,,,,,
11070,Lithgow,<5,9,"2,228",11,493,8,261,169,854,814,680,833,134,595,50,192,<5,"3,881",<5,<5,9,0,0,<5,101,46,"1,073",,,,,,,,,,,,,,,,,,,,,
11071,Lithgow Region,<5,9,"1,139",11,286,6,136,135,397,471,357,451,63,301,34,98,<5,"1,985",<5,<5,8,0,<5,8,36,13,365,,,,,,,,,,,,,,,,,,,,,
11072,Mudgee,8,18,"1,428",8,311,10,129,217,470,769,618,608,81,396,43,182,0,"2,504",<5,0,9,0,<5,<5,78,24,992,,,,,,,,,,,,,,,,,,,,,
11073,Mudgee Region - East,<5,<5,647,<5,184,<5,110,51,247,223,182,212,29,170,17,48,0,"1,165",<5,0,<5,0,0,<5,13,5,317,,,,,,,,,,,,,,,,,,,,,
11074,Mudgee Region - West,<5,6,"1,353",<5,286,10,162,209,429,607,467,539,80,349,38,116,<5,"2,304",<5,0,6,0,5,9,42,14,436,,,,,,,,,,,,,,,,,,,,,
11075,Wollangambe - Wollemi,0,0,<5,0,<5,0,0,0,0,0,0,0,0,0,0,0,0,<5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
11076,Blayney,<5,5,853,<5,195,5,82,154,256,480,362,318,55,207,18,102,<5,"1,445",<5,0,<5,0,<5,<5,27,23,397,,,,,,,,,,,,,,,,,,,,,
11077,Orange,16,62,"2,819",27,562,21,253,365,"1,214","1,411","1,180","1,132",152,772,66,392,<5,"5,238",5,<5,11,<5,<5,5,158,71,"1,688",,,,,,,,,,,,,,,,,,,,,
11078,Orange - North,7,66,"1,775",21,478,13,198,248,757,"1,340","1,050",876,197,397,51,332,<5,"3,351",<5,<5,5,0,<5,<5,94,144,"1,276",,,,,,,,,,,,,,,,,,,,,
11079,Orange Region,<5,12,"1,101",<5,244,7,83,268,265,559,406,349,69,164,20,93,<5,"1,702",0,0,<5,0,<5,<5,27,27,337,,,,,,,,,,,,,,,,,,,,,
11080,Grafton,18,82,"3,217",21,892,17,496,323,"1,348","1,770","1,443","1,379",234,995,112,430,<5,"6,344",<5,<5,9,0,8,8,251,65,"2,218",,,,,,,,,,,,,,,,,,,,,
11081,Grafton Region,9,25,"2,322",15,728,10,428,277,"1,058","1,198",891,"1,035",180,892,70,211,<5,"4,760",9,<5,13,0,9,13,119,37,913,,,,,,,,,,,,,,,,,,,,,
11082,Maclean - Yamba - Iluka,12,27,"3,770",13,756,9,364,458,982,"1,089",810,868,163,682,61,181,<5,"5,895",5,<5,10,0,9,5,79,35,"1,723",,,,,,,,,,,,,,,,,,,,,
11083,Bellingen,<5,<5,712,12,140,<5,71,110,258,582,458,466,89,291,45,85,<5,"1,350",0,0,<5,0,<5,<5,30,20,426,,,,,,,,,,,,,,,,,,,,,
11084,Coffs Harbour - North,13,36,"2,658",25,649,17,314,303,"1,064","1,458","1,160","1,271",227,899,101,296,<5,"5,056",6,<5,9,0,5,6,174,117,"2,043",,,,,,,,,,,,,,,,,,,,,
11085,Coffs Harbour - South,12,21,"1,820",21,343,9,147,233,680,839,684,806,152,645,77,164,<5,"3,303",<5,<5,8,0,5,<5,118,88,"1,326",,,,,,,,,,,,,,,,,,,,,
11086,Coramba - Nana Glen - Bucca,<5,<5,388,6,93,<5,45,55,110,296,214,215,39,171,17,46,0,713,<5,0,0,0,<5,<5,17,11,198,,,,,,,,,,,,,,,,,,,,,
11087,Dorrigo,<5,<5,500,6,87,<5,50,102,230,266,203,240,32,218,23,41,0,977,<5,0,<5,0,0,0,18,5,224,,,,,,,,,,,,,,,,,,,,,
11088,Korora - Emerald Beach,<5,<5,917,11,208,10,88,232,202,608,446,442,86,245,27,79,<5,"1,524",<5,0,8,0,<5,0,35,29,488,,,,,,,,,,,,,,,,,,,,,
11089,Sawtell - Boambee,13,59,"3,057",34,750,12,354,306,893,"1,566","1,208","1,177",199,808,68,318,<5,"5,341",11,<5,9,0,5,8,160,78,"1,658",,,,,,,,,,,,,,,,,,,,,
11090,Urunga,<5,7,913,11,178,<5,93,94,265,330,263,258,46,204,24,68,<5,"1,523",<5,0,<5,0,<5,<5,32,16,465,,,,,,,,,,,,,,,,,,,,,
11091,Woolgoolga - Arrawarra,5,18,"1,847",13,422,10,210,200,569,"1,031",778,741,108,605,46,175,<5,"3,327",<5,<5,11,0,<5,8,71,46,"1,338",,,,,,,,,,,,,,,,,,,,,
11092,Bourke - Brewarrina,30,96,335,0,116,0,87,20,224,407,365,395,26,297,12,161,0,914,<5,0,<5,0,<5,0,50,<5,303,,,,,,,,,,,,,,,,,,,,,
11093,Cobar,5,14,423,<5,82,<5,39,49,178,253,215,162,14,118,<5,76,0,780,0,0,<5,0,<5,0,17,<5,156,,,,,,,,,,,,,,,,,,,,,
11094,Coonamble,10,92,404,0,168,<5,118,66,241,380,326,362,17,270,18,134,0,"1,027",<5,0,<5,0,0,<5,65,7,308,,,,,,,,,,,,,,,,,,,,,
11095,Nyngan - Warren,<5,33,646,0,114,<5,53,106,168,356,273,314,18,245,18,104,0,"1,090",<5,0,<5,0,0,<5,37,7,262,,,,,,,,,,,,,,,,,,,,,
